enroll_id,grade,strand,track,counts
78266,G11,ACAD,ABM,9
78266,G11,ACAD,HUMSS,34
78266,G11,ACAD,STEM,0
78266,G11,ACAD,GAS,0
78266,G11,ACAD,PBM,0
78266,G11,NON ACAD,TVL,0
78266,G11,NON ACAD,SPORTS,0
78266,G11,NON ACAD,ARTS,0
78266,G12,ACAD,ABM,12
78266,G12,ACAD,HUMSS,54
78266,G12,ACAD,STEM,0
78266,G12,ACAD,GAS,0
78266,G12,ACAD,PBM,0
78266,G12,NON ACAD,TVL,0
78266,G12,NON ACAD,SPORTS,0
78266,G12,NON ACAD,ARTS,0
78266,G11,ACAD,ABM,11
78266,G11,ACAD,HUMSS,33
78266,G11,ACAD,STEM,0
78266,G11,ACAD,GAS,0
78266,G11,ACAD,PBM,0
78266,G11,NON ACAD,TVL,0
78266,G11,NON ACAD,SPORTS,0
78266,G11,NON ACAD,ARTS,0
78266,G12,ACAD,ABM,16
78266,G12,ACAD,HUMSS,32
78266,G12,ACAD,STEM,0
78266,G12,ACAD,GAS,0
78266,G12,ACAD,PBM,0
78266,G12,NON ACAD,TVL,0
78266,G12,NON ACAD,SPORTS,0
78266,G12,NON ACAD,ARTS,0
78717,G11,ACAD,ABM,0
78717,G11,ACAD,HUMSS,0
78717,G11,ACAD,STEM,0
78717,G11,ACAD,GAS,0
78717,G11,ACAD,PBM,0
78717,G11,NON ACAD,TVL,22
78717,G11,NON ACAD,SPORTS,0
78717,G11,NON ACAD,ARTS,0
78717,G12,ACAD,ABM,0
78717,G12,ACAD,HUMSS,0
78717,G12,ACAD,STEM,0
78717,G12,ACAD,GAS,0
78717,G12,ACAD,PBM,0
78717,G12,NON ACAD,TVL,20
78717,G12,NON ACAD,SPORTS,0
78717,G12,NON ACAD,ARTS,0
78717,G11,ACAD,ABM,0
78717,G11,ACAD,HUMSS,0
78717,G11,ACAD,STEM,0
78717,G11,ACAD,GAS,0
78717,G11,ACAD,PBM,0
78717,G11,NON ACAD,TVL,20
78717,G11,NON ACAD,SPORTS,0
78717,G11,NON ACAD,ARTS,0
78717,G12,ACAD,ABM,0
78717,G12,ACAD,HUMSS,0
78717,G12,ACAD,STEM,0
78717,G12,ACAD,GAS,0
78717,G12,ACAD,PBM,0
78717,G12,NON ACAD,TVL,16
78717,G12,NON ACAD,SPORTS,0
78717,G12,NON ACAD,ARTS,0
