enroll_id,grade,counts,year
73995,G7,13,2023
73995,G8,20,2023
73995,G9,20,2023
73995,G10,14,2023
73995,JHS,0,2023
73994,G7,25,2023
73994,G8,15,2023
73994,G9,13,2023
73994,G10,10,2023
73994,JHS,0,2023
73996,G7,17,2023
73996,G8,19,2023
73996,G9,18,2023
73996,G10,24,2023
73996,JHS,0,2023
73997,G7,29,2023
73997,G8,15,2023
73997,G9,23,2023
73997,G10,23,2023
73997,JHS,0,2023
73999,G7,168,2023
73999,G8,197,2023
73999,G9,229,2023
73999,G10,279,2023
73999,JHS,5,2023
73998,G7,184,2023
73998,G8,238,2023
73998,G9,226,2023
73998,G10,261,2023
73998,JHS,8,2023
74000,G7,74,2023
74000,G8,92,2023
74000,G9,89,2023
74000,G10,105,2023
74000,JHS,0,2023
74001,G7,85,2023
74001,G8,65,2023
74001,G9,70,2023
74001,G10,106,2023
74001,JHS,0,2023
74003,G7,29,2023
74003,G8,51,2023
74003,G9,62,2023
74003,G10,57,2023
74003,JHS,0,2023
74002,G7,35,2023
74002,G8,45,2023
74002,G9,41,2023
74002,G10,55,2023
74002,JHS,0,2023
74004,G7,39,2023
74004,G8,54,2023
74004,G9,46,2023
74004,G10,63,2023
74004,JHS,0,2023
74005,G7,46,2023
74005,G8,66,2023
74005,G9,64,2023
74005,G10,60,2023
74005,JHS,0,2023
74007,G7,62,2023
74007,G8,73,2023
74007,G9,88,2023
74007,G10,111,2023
74007,JHS,0,2023
74006,G7,56,2023
74006,G8,86,2023
74006,G9,100,2023
74006,G10,101,2023
74006,JHS,0,2023
74008,G7,45,2023
74008,G8,51,2023
74008,G9,47,2023
74008,G10,67,2023
74008,JHS,0,2023
74009,G7,54,2023
74009,G8,33,2023
74009,G9,55,2023
74009,G10,53,2023
74009,JHS,0,2023
74011,G7,13,2023
74011,G8,14,2023
74011,G9,27,2023
74011,G10,33,2023
74011,JHS,0,2023
74010,G7,18,2023
74010,G8,30,2023
74010,G9,35,2023
74010,G10,22,2023
74010,JHS,0,2023
74013,G7,6,2023
74013,G8,10,2023
74013,G9,9,2023
74013,G10,16,2023
74013,JHS,0,2023
74012,G7,8,2023
74012,G8,13,2023
74012,G9,16,2023
74012,G10,10,2023
74012,JHS,0,2023
74015,G7,13,2023
74015,G8,8,2023
74015,G9,15,2023
74015,G10,21,2023
74015,JHS,0,2023
74014,G7,11,2023
74014,G8,10,2023
74014,G9,11,2023
74014,G10,21,2023
74014,JHS,0,2023
74017,G7,18,2023
74017,G8,23,2023
74017,G9,33,2023
74017,G10,33,2023
74017,JHS,0,2023
74016,G7,19,2023
74016,G8,37,2023
74016,G9,43,2023
74016,G10,38,2023
74016,JHS,0,2023
74019,G7,10,2023
74019,G8,26,2023
74019,G9,17,2023
74019,G10,31,2023
74019,JHS,0,2023
74018,G7,17,2023
74018,G8,27,2023
74018,G9,29,2023
74018,G10,21,2023
74018,JHS,0,2023
74021,G7,28,2023
74021,G8,26,2023
74021,G9,24,2023
74021,G10,38,2023
74021,JHS,0,2023
74020,G7,26,2023
74020,G8,42,2023
74020,G9,23,2023
74020,G10,37,2023
74020,JHS,0,2023
74023,G7,37,2023
74023,G8,46,2023
74023,G9,50,2023
74023,G10,44,2023
74023,JHS,0,2023
74022,G7,34,2023
74022,G8,45,2023
74022,G9,47,2023
74022,G10,53,2023
74022,JHS,0,2023
74024,G7,97,2023
74024,G8,127,2023
74024,G9,130,2023
74024,G10,155,2023
74024,JHS,0,2023
74025,G7,118,2023
74025,G8,124,2023
74025,G9,142,2023
74025,G10,155,2023
74025,JHS,0,2023
74027,G7,88,2023
74027,G8,113,2023
74027,G9,108,2023
74027,G10,106,2023
74027,JHS,0,2023
74026,G7,90,2023
74026,G8,121,2023
74026,G9,104,2023
74026,G10,111,2023
74026,JHS,0,2023
74028,G7,18,2023
74028,G8,18,2023
74028,G9,30,2023
74028,G10,34,2023
74028,JHS,0,2023
74029,G7,20,2023
74029,G8,20,2023
74029,G9,19,2023
74029,G10,33,2023
74029,JHS,0,2023
74030,G7,105,2023
74030,G8,133,2023
74030,G9,132,2023
74030,G10,133,2023
74030,JHS,0,2023
74031,G7,115,2023
74031,G8,144,2023
74031,G9,139,2023
74031,G10,159,2023
74031,JHS,0,2023
74033,G7,51,2023
74033,G8,78,2023
74033,G9,79,2023
74033,G10,67,2023
74033,JHS,0,2023
74032,G7,42,2023
74032,G8,65,2023
74032,G9,100,2023
74032,G10,96,2023
74032,JHS,0,2023
74035,G7,91,2023
74035,G8,107,2023
74035,G9,107,2023
74035,G10,140,2023
74035,JHS,0,2023
74034,G7,95,2023
74034,G8,117,2023
74034,G9,136,2023
74034,G10,152,2023
74034,JHS,0,2023
74037,G7,27,2023
74037,G8,35,2023
74037,G9,27,2023
74037,G10,26,2023
74037,JHS,0,2023
74036,G7,37,2023
74036,G8,42,2023
74036,G9,45,2023
74036,G10,31,2023
74036,JHS,0,2023
74038,G7,28,2023
74038,G8,60,2023
74038,G9,58,2023
74038,G10,44,2023
74038,JHS,0,2023
74039,G7,36,2023
74039,G8,38,2023
74039,G9,39,2023
74039,G10,48,2023
74039,JHS,0,2023
74041,G7,30,2023
74041,G8,31,2023
74041,G9,35,2023
74041,G10,40,2023
74041,JHS,0,2023
74040,G7,36,2023
74040,G8,41,2023
74040,G9,46,2023
74040,G10,39,2023
74040,JHS,0,2023
74043,G7,56,2023
74043,G8,63,2023
74043,G9,73,2023
74043,G10,73,2023
74043,JHS,0,2023
74042,G7,59,2023
74042,G8,64,2023
74042,G9,76,2023
74042,G10,76,2023
74042,JHS,0,2023
74045,G7,28,2023
