enroll_id,beis_id,gender
0,100000,F
1,100000,M
2,100001,F
3,100001,M
4,100002,F
5,100002,M
6,100003,M
7,100003,F
8,100004,M
9,100004,F
10,100005,M
11,100005,F
12,100006,M
13,100006,F
14,100007,F
15,100007,M
16,100008,F
17,100008,M
18,100009,F
19,100009,M
20,100010,F
21,100010,M
22,100011,F
23,100011,M
24,100012,F
25,100012,M
26,100013,M
27,100013,F
28,100014,M
29,100014,F
30,100015,M
31,100015,F
32,100016,M
33,100016,F
34,100017,M
35,100017,F
36,100018,M
37,100018,F
38,100019,M
39,100019,F
40,100020,F
41,100020,M
42,100021,F
43,100021,M
44,100022,M
45,100022,F
46,100023,M
47,100023,F
48,100024,M
49,100024,F
50,100025,F
51,100025,M
52,100026,F
53,100026,M
54,100027,F
55,100027,M
56,100029,F
57,100029,M
58,100030,F
59,100030,M
60,100031,F
61,100031,M
62,100032,F
63,100032,M
64,100033,F
65,100033,M
66,100034,F
67,100034,M
68,100035,F
69,100035,M
70,100036,F
71,100036,M
72,100037,F
73,100037,M
74,100038,F
75,100038,M
76,100039,F
77,100039,M
78,100040,M
79,100040,F
80,100041,F
81,100041,M
82,100042,F
83,100042,M
84,100043,F
85,100043,M
86,100044,F
87,100044,M
88,100045,F
89,100045,M
90,100046,F
91,100046,M
92,100047,F
93,100047,M
94,100048,F
95,100048,M
96,100049,F
97,100049,M
98,100050,F
99,100050,M
100,100051,F
101,100051,M
102,100052,F
103,100052,M
104,100053,F
105,100053,M
106,100054,F
107,100054,M
108,100055,M
109,100055,F
110,100056,M
111,100056,F
112,100057,F
113,100057,M
114,100058,F
115,100058,M
116,100059,M
117,100059,F
118,100060,M
119,100060,F
120,100061,F
121,100061,M
122,100062,F
123,100062,M
124,100063,F
125,100063,M
126,100064,F
127,100064,M
128,100065,M
129,100065,F
130,100066,M
131,100066,F
132,100067,M
133,100067,F
134,100068,M
135,100068,F
136,100069,M
137,100069,F
138,100070,M
139,100070,F
140,100071,M
141,100071,F
142,100072,F
143,100072,M
144,100073,F
145,100073,M
146,100074,F
147,100074,M
148,100075,M
149,100075,F
150,100076,M
151,100076,F
152,100077,M
153,100077,F
154,100078,M
155,100078,F
156,100079,M
157,100079,F
158,100080,M
159,100080,F
160,100081,M
161,100081,F
162,100082,M
163,100082,F
164,100083,M
165,100083,F
166,100084,M
167,100084,F
168,100085,M
169,100085,F
170,100086,M
171,100086,F
172,100087,M
173,100087,F
174,100088,F
175,100088,M
176,100089,M
177,100089,F
178,100090,F
179,100090,M
180,100091,F
181,100091,M
182,100092,F
183,100092,M
184,100093,F
185,100093,M
186,100094,F
187,100094,M
188,100095,M
189,100095,F
190,100096,M
191,100096,F
192,100097,M
193,100097,F
194,100098,M
195,100098,F
196,100099,M
197,100099,F
198,100100,F
199,100100,M
200,100101,F
201,100101,M
202,100102,M
203,100102,F
204,100103,M
205,100103,F
206,100104,M
207,100104,F
208,100105,M
209,100105,F
210,100106,M
211,100106,F
212,100107,M
213,100107,F
214,100108,F
215,100108,M
216,100109,F
217,100109,M
218,100110,M
219,100110,F
220,100111,M
221,100111,F
222,100112,M
223,100112,F
224,100113,F
225,100113,M
226,100114,F
227,100114,M
228,100115,F
229,100115,M
230,100116,F
231,100116,M
232,100117,F
233,100117,M
234,100118,M
235,100118,F
236,100119,M
237,100119,F
238,100120,M
239,100120,F
240,100121,M
241,100121,F
242,100122,M
243,100122,F
244,100123,M
245,100123,F
246,100124,F
247,100124,M
248,100125,F
249,100125,M
250,100126,F
251,100126,M
252,100127,F
253,100127,M
254,100128,M
255,100128,F
256,100129,M
257,100129,F
258,100130,M
259,100130,F
260,100131,M
261,100131,F
262,100132,M
263,100132,F
264,100133,M
265,100133,F
266,100134,M
267,100134,F
268,100135,M
269,100135,F
270,100136,M
271,100136,F
272,100137,M
273,100137,F
274,100138,M
275,100138,F
276,100139,F
277,100139,M
278,100140,F
279,100140,M
280,100141,F
281,100141,M
282,100142,F
283,100142,M
284,100143,F
285,100143,M
286,100144,F
287,100144,M
288,100145,F
289,100145,M
290,100146,F
291,100146,M
292,100147,F
293,100147,M
294,100148,F
295,100148,M
296,100150,F
297,100150,M
298,100151,F
299,100151,M
300,100152,F
301,100152,M
302,100153,F
303,100153,M
304,100154,F
305,100154,M
306,100155,F
307,100155,M
308,100156,F
309,100156,M
310,100157,F
311,100157,M
312,100158,F
313,100158,M
314,100160,M
315,100160,F
316,100161,M
317,100161,F
318,100163,M
319,100163,F
320,100164,M
321,100164,F
322,100165,M
323,100165,F
324,100166,M
325,100166,F
326,100167,M
327,100167,F
328,100168,M
329,100168,F
330,100169,F
331,100169,M
332,100170,F
333,100170,M
334,100171,F
335,100171,M
336,100172,F
337,100172,M
338,100173,F
339,100173,M
340,100174,F
341,100174,M
342,100175,F
343,100175,M
344,100176,F
345,100176,M
346,100177,F
347,100177,M
348,100179,F
349,100179,M
350,100180,F
351,100180,M
352,100181,F
353,100181,M
354,100182,M
355,100182,F
356,100183,F
357,100183,M
358,100184,F
359,100184,M
360,100185,F
361,100185,M
362,100186,F
363,100186,M
364,100187,F
365,100187,M
366,100188,F
367,100188,M
368,100189,F
369,100189,M
370,100190,F
371,100190,M
372,100191,F
373,100191,M
374,100192,F
375,100192,M
376,100193,F
377,100193,M
378,100194,F
379,100194,M
380,100195,F
381,100195,M
382,100196,F
383,100196,M
384,100197,F
385,100197,M
386,100198,M
387,100198,F
388,100199,M
389,100199,F
390,100200,M
391,100200,F
392,100201,F
393,100201,M
394,100202,F
395,100202,M
396,100203,F
397,100203,M
398,100204,F
399,100204,M
400,100205,F
401,100205,M
402,100206,F
403,100206,M
404,100207,F
405,100207,M
406,100208,F
407,100208,M
408,100209,M
409,100209,F
410,100210,M
411,100210,F
412,100211,M
413,100211,F
414,100212,M
415,100212,F
416,100213,M
417,100213,F
418,100214,M
419,100214,F
420,100215,M
421,100215,F
422,100216,M
423,100216,F
424,100217,M
425,100217,F
426,100218,M
427,100218,F
428,100219,M
429,100219,F
430,100220,M
431,100220,F
432,100221,M
433,100221,F
434,100222,M
435,100222,F
436,100223,M
437,100223,F
438,100224,M
439,100224,F
440,100225,M
441,100225,F
442,100226,M
443,100226,F
444,100227,M
445,100227,F
446,100228,M
447,100228,F
448,100229,M
449,100229,F
450,100230,M
451,100230,F
452,100231,M
453,100231,F
454,100232,M
455,100232,F
456,100233,F
457,100233,M
458,100234,M
459,100234,F
460,100235,M
461,100235,F
462,100236,M
463,100236,F
464,100237,M
465,100237,F
466,100238,M
467,100238,F
468,100239,M
469,100239,F
470,100240,M
471,100240,F
472,100241,M
473,100241,F
474,100242,M
475,100242,F
476,100243,M
477,100243,F
478,100244,F
479,100244,M
480,100245,F
481,100245,M
482,100246,F
483,100246,M
484,100247,F
485,100247,M
486,100249,F
487,100249,M
488,100250,F
489,100250,M
490,100251,M
491,100251,F
492,100252,M
493,100252,F
494,100253,M
495,100253,F
496,100254,M
497,100254,F
498,100255,M
499,100255,F
500,100256,M
501,100256,F
502,100257,F
503,100257,M
504,100258,F
505,100258,M
506,100259,F
507,100259,M
508,100260,F
509,100260,M
510,100261,F
511,100261,M
512,100262,F
513,100262,M
514,100263,F
515,100263,M
516,100265,F
517,100265,M
518,100266,F
519,100266,M
520,100267,F
521,100267,M
522,100268,F
523,100268,M
524,100269,F
525,100269,M
526,100270,F
527,100270,M
528,100271,F
529,100271,M
530,100272,F
531,100272,M
532,100273,F
533,100273,M
534,100274,M
535,100274,F
536,100275,M
537,100275,F
538,100276,M
539,100276,F
540,100277,M
541,100277,F
542,100278,M
543,100278,F
544,100279,M
545,100279,F
546,100280,M
547,100280,F
548,100281,M
549,100281,F
550,100282,F
551,100282,M
552,100283,F
553,100283,M
554,100284,F
555,100284,M
556,100285,F
557,100285,M
558,100286,F
