local_id,municipality,legis_district,brgy
0,ABORLAN,2nd District,APO-APORAWAN
1,ABORLAN,2nd District,APOC-APOC
2,ABORLAN,2nd District,APORAWAN
3,ABORLAN,2nd District,BARAKE
4,ABORLAN,2nd District,CABIGAAN
5,ABORLAN,2nd District,CULANDANUM
6,ABORLAN,2nd District,GOGOGNAN
7,ABORLAN,2nd District,IRAAN
8,ABORLAN,2nd District,ISAUB
9,ABORLAN,2nd District,JOSE RIZAL
10,ABORLAN,2nd District,MABINI
11,ABORLAN,2nd District,MAGBABADIL
12,ABORLAN,2nd District,PLARIDEL
13,ABORLAN,2nd District,POBLACION
14,ABORLAN,2nd District,RAMON MAGSAYSAY
15,ABORLAN,2nd District,SAGPANGAN
16,ABORLAN,2nd District,SAN JUAN
17,ABORLAN,2nd District,TAGPAIT
18,ABORLAN,2nd District,TIGMAN
19,ABRA DE ILOG,Lone District,ARMADO
20,ABRA DE ILOG,Lone District,BALAO
21,ABRA DE ILOG,Lone District,CABACAO
22,ABRA DE ILOG,Lone District,LUMANGBAYAN
23,ABRA DE ILOG,Lone District,POBLACION
24,ABRA DE ILOG,Lone District,SAN VICENTE
25,ABRA DE ILOG,Lone District,TIBAG
26,ABRA DE ILOG,Lone District,UDALO (CAMURONG)
27,ABRA DE ILOG,Lone District,WAWA
28,ABUCAY,1st District,BANGKAL
29,ABUCAY,1st District,CALAYLAYAN (POB.)
30,ABUCAY,1st District,CAPITANGAN
31,ABUCAY,1st District,GABON
32,ABUCAY,1st District,LAON (POB.)
33,ABUCAY,1st District,MABATANG
34,ABUCAY,1st District,OMBOY
35,ABUCAY,1st District,SALIAN
36,ABUCAY,1st District,WAWA (POB.)
37,ABULUG,2nd District,ALINUNU
38,ABULUG,2nd District,BAGU
39,ABULUG,2nd District,BANGUIAN
40,ABULUG,2nd District,CALOG NORTE
41,ABULUG,2nd District,CALOG SUR
42,ABULUG,2nd District,CANAYUN
43,ABULUG,2nd District,CENTRO (POB.)
44,ABULUG,2nd District,DANA-ILI
45,ABULUG,2nd District,GUIDDAM
46,ABULUG,2nd District,LIBERTAD
47,ABULUG,2nd District,LUCBAN
48,ABULUG,2nd District,PINILI
49,ABULUG,2nd District,SAN AGUSTIN
50,ABULUG,2nd District,SAN JULIAN
51,ABULUG,2nd District,SANTA  ROSA
52,ABULUG,2nd District,SANTA FILOMENA
53,ABULUG,2nd District,SANTO TOMAS
54,ABULUG,2nd District,SIGUIRAN
55,ABULUG,2nd District,SIMAYUNG
56,ABULUG,2nd District,SIRIT
57,ABUYOG,5th District,ALANGILAN
58,ABUYOG,5th District,ANIBONGAN
59,ABUYOG,5th District,BAGACAY
60,ABUYOG,5th District,BAHAY
61,ABUYOG,5th District,BALINSASAYAO
62,ABUYOG,5th District,BALOCAWE
63,ABUYOG,5th District,BALOCAWEHAY
64,ABUYOG,5th District,BARAYONG
65,ABUYOG,5th District,BAYABAS
66,ABUYOG,5th District,BITO (POB.)
67,ABUYOG,5th District,BUAYA
68,ABUYOG,5th District,BUENAVISTA
69,ABUYOG,5th District,BULAK
70,ABUYOG,5th District,BUNGA
71,ABUYOG,5th District,BUNTAY (POB.)
72,ABUYOG,5th District,BURUBUD-AN
73,ABUYOG,5th District,CADAC-AN
74,ABUYOG,5th District,CAGBOLO
75,ABUYOG,5th District,CAN-APORONG
76,ABUYOG,5th District,CAN-UGUIB (POB.)
77,ABUYOG,5th District,CANMARATING
78,ABUYOG,5th District,CAPILIAN
79,ABUYOG,5th District,COMBIS
80,ABUYOG,5th District,DINGLE
81,ABUYOG,5th District,GUINTAGBUCAN (POB.)
82,ABUYOG,5th District,HAMPIPILA
83,ABUYOG,5th District,KATIPUNAN
84,ABUYOG,5th District,KIKILO
85,ABUYOG,5th District,LARAY
86,ABUYOG,5th District,LAWA-AN
87,ABUYOG,5th District,LIBERTAD
88,ABUYOG,5th District,LOYONSAWANG (POB.)
89,ABUYOG,5th District,MAG-ATUBANG
90,ABUYOG,5th District,MAHAGNA (NEW CAGBOLO)
91,ABUYOG,5th District,MAHAYAHAY
92,ABUYOG,5th District,MAITUM
93,ABUYOG,5th District,MALAGUICAY
94,ABUYOG,5th District,MATAGNAO
95,ABUYOG,5th District,NALIBUNAN (POB.)
96,ABUYOG,5th District,NEBGA
97,ABUYOG,5th District,NEW TALIGUE
98,ABUYOG,5th District,ODIONGAN
99,ABUYOG,5th District,OLD TALIGUE
100,ABUYOG,5th District,PAGSANG-AN
101,ABUYOG,5th District,PAGUITE
102,ABUYOG,5th District,PARASANON
103,ABUYOG,5th District,PICAS SUR
104,ABUYOG,5th District,PILAR
105,ABUYOG,5th District,PINAMANAGAN
106,ABUYOG,5th District,SALVACION
107,ABUYOG,5th District,SAN FRANCISCO
108,ABUYOG,5th District,SAN ISIDRO
109,ABUYOG,5th District,SAN ROQUE
110,ABUYOG,5th District,SANTA FE (POB.)
111,ABUYOG,5th District,SANTA LUCIA (POB.)
112,ABUYOG,5th District,SANTO NINO (POB.)
113,ABUYOG,5th District,TABIGUE
114,ABUYOG,5th District,TADOC
115,ABUYOG,5th District,TIB-O
116,ABUYOG,5th District,TINALIAN
117,ABUYOG,5th District,TINOCOLAN
118,ABUYOG,5th District,TUY-A
119,ADAMS,1st District,ADAMS (POB.)
120,AGDANGAN,3rd District,BINAGBAG
121,AGDANGAN,3rd District,DAYAP
122,AGDANGAN,3rd District,ILAYANG KINAGUNAN
