region_id,region,division,district,province
0,BARMM,Basilan,Lantawan,BASILAN
1,BARMM,Basilan,Maluso East,BASILAN
2,BARMM,Basilan,Maluso West,BASILAN
3,BARMM,Basilan,Pilas,BASILAN
4,BARMM,Basilan,Sumisip East,BASILAN
5,BARMM,Basilan,Sumisip North,BASILAN
6,BARMM,Basilan,Sumisip South,BASILAN
7,BARMM,Basilan,Tipo-Tipo East,BASILAN
8,BARMM,Basilan,Tipo-Tipo West,BASILAN
9,BARMM,Basilan,Tuburan,BASILAN
10,BARMM,Cotabato City,Cotabato City District I,CITY OF COTABATO
11,BARMM,Cotabato City,Cotabato City District II,CITY OF COTABATO
12,BARMM,Cotabato City,Cotabato City District III,CITY OF COTABATO
13,BARMM,Cotabato City,Cotabato City District IV,CITY OF COTABATO
14,BARMM,Cotabato City,Cotabato City District V,CITY OF COTABATO
15,BARMM,Cotabato City,Cotabato City District VI,CITY OF COTABATO
16,BARMM,Cotabato City,Cotabato City District VII,CITY OF COTABATO
17,BARMM,Cotabato City,Cotabato City District VIII,CITY OF COTABATO
18,BARMM,Lamitan City,Lamitan Central,BASILAN
19,BARMM,Lamitan City,Lamitan East,BASILAN
20,BARMM,Lamitan City,Lamitan South,BASILAN
21,BARMM,Lamitan City,Lamitan West I,BASILAN
22,BARMM,Lamitan City,Lamitan West II,BASILAN
23,BARMM,Lanao del Sur - I,Balindong I,LANAO DEL SUR
24,BARMM,Lanao del Sur - I,Balindong II,LANAO DEL SUR
25,BARMM,Lanao del Sur - I,Buadipuso-Buntong,LANAO DEL SUR
26,BARMM,Lanao del Sur - I,Bubong I,LANAO DEL SUR
27,BARMM,Lanao del Sur - I,Bubong II,LANAO DEL SUR
28,BARMM,Lanao del Sur - I,Bumbaran,LANAO DEL SUR
29,BARMM,Lanao del Sur - I,Ditsaan Ramain I,LANAO DEL SUR
30,BARMM,Lanao del Sur - I,Ditsaan Ramain II,LANAO DEL SUR
31,BARMM,Lanao del Sur - I,Ditsaan Ramain III,LANAO DEL SUR
32,BARMM,Lanao del Sur - I,Kapai/Tagoloan,LANAO DEL SUR
33,BARMM,Lanao del Sur - I,Lumba-Bayabao I,LANAO DEL SUR
34,BARMM,Lanao del Sur - I,Lumba-Bayabao II,LANAO DEL SUR
35,BARMM,Lanao del Sur - I,Lumba-Bayabao III,LANAO DEL SUR
36,BARMM,Lanao del Sur - I,Maguing,LANAO DEL SUR
37,BARMM,Lanao del Sur - I,Maguing II,LANAO DEL SUR
38,BARMM,Lanao del Sur - I,Marantao I,LANAO DEL SUR
39,BARMM,Lanao del Sur - I,Marantao II,LANAO DEL SUR
40,BARMM,Lanao del Sur - I,Masiu A District,LANAO DEL SUR
41,BARMM,Lanao del Sur - I,Masiu B District,LANAO DEL SUR
42,BARMM,Lanao del Sur - I,Masiu I,LANAO DEL SUR
43,BARMM,Lanao del Sur - I,Masiu II,LANAO DEL SUR
44,BARMM,Lanao del Sur - I,Mulondo,LANAO DEL SUR
45,BARMM,Lanao del Sur - I,Piagapo East,LANAO DEL SUR
46,BARMM,Lanao del Sur - I,Piagapo West,LANAO DEL SUR
47,BARMM,Lanao del Sur - I,Poona-Bayabao North,LANAO DEL SUR
48,BARMM,Lanao del Sur - I,Poona-Bayabao South,LANAO DEL SUR
49,BARMM,Lanao del Sur - I,Poona-Bayabao West,LANAO DEL SUR
50,BARMM,Lanao del Sur - I,Saguiaran I,LANAO DEL SUR
51,BARMM,Lanao del Sur - I,Saguiaran II,LANAO DEL SUR
52,BARMM,Lanao del Sur - I,Saguiaran III,LANAO DEL SUR
53,BARMM,Lanao del Sur - I,South Wao District,LANAO DEL SUR
54,BARMM,Lanao del Sur - I,Tamparan District,LANAO DEL SUR
55,BARMM,Lanao del Sur - I,Tamparan I,LANAO DEL SUR
56,BARMM,Lanao del Sur - I,Taraka I,LANAO DEL SUR
57,BARMM,Lanao del Sur - I,Taraka II,LANAO DEL SUR
58,BARMM,Lanao del Sur - I,Wao I,LANAO DEL SUR
59,BARMM,Lanao del Sur - I,Wao II,LANAO DEL SUR
60,BARMM,Lanao del Sur - II,Bacolod,LANAO DEL SUR
61,BARMM,Lanao del Sur - II,Binidayan,LANAO DEL SUR
62,BARMM,Lanao del Sur - II,Butig,LANAO DEL SUR
63,BARMM,Lanao del Sur - II,Calanogas,LANAO DEL SUR
64,BARMM,Lanao del Sur - II,Central Ganassi,LANAO DEL SUR
65,BARMM,Lanao del Sur - II,Central Tugaya,LANAO DEL SUR
66,BARMM,Lanao del Sur - II,Diwan,LANAO DEL SUR
67,BARMM,Lanao del Sur - II,East Ganassi,LANAO DEL SUR
